doc_id,title,doc_type,source,owner,effective_date,version,jurisdiction_region,authority_status,confidentiality,access_group,file_name,applicable_risk_tier,review_required,next_review_date
ERM-001,Enterprise Risk Management Policy,Enterprise policy,Internally generated,Head of Risk ,2026-09-10,V1.0,United States,Effective,Internal,All_internal,enterprise_risk_policy.md,ALL (T1-T5),Yes,2027-09-10
RISK-TIER,Applicant Credit Risk Classification Policy,Classification policy,Internally generated,Quality & Governance Lead,2026-09-01,V1.0,United States,Effective,Confidential,Credit_policy_readers,applicant_risk_policy.md,ALL (T1-T5),Yes,2027-09-01
PRODUCT-RISK,Product Risk Management Policy,Product risk policy,Internally generated,Credit Risk function,2026-09-10,V1.0,United States,Effective,Confidential,Credit_policy_readers,product_risk_policy.md,ALL (T1-T5),Yes,2027-09-10
ELIG-001,Product Eligibility Rules,Eligibility rules,Internally generated,Credit Risk function,,V1.0,United States,In Progress — Draft,Confidential,Lending_policy_readers,product_eligibility_rules.md,ALL (T1-T5),Yes,
APPR-001,Approval / Escalation Procedures,Procedure,Internally generated,Credit Risk function,,V1.0,United States,In Progress — Draft,Internal,Lending_policy_readers,approval_escalation_procedures.md,ALL (T1-T5),Yes,
REG-001,Regional / State Lending Requirements,Requirements reference,Internally generated,Head of Compliance,,V1.0,"United States federal, state and local",In Progress — Draft; legal validation pending,Internal,Lending_policy_readers,regional_state_lending_requirements.md,ALL (T1-T5),Yes,
cfpb_ecoa.pdf,Equal Credit Opportunity Act (ECOA),Statute / Federal Regulation,Consumer Financial Protection Bureau (CFPB),Head of Compliance,"July 21, 2026 (Revised procedures published July 23, 2026)",12 C.F.R. Part 1002 (Regulation B) - 2026 Amendment,United States,Official agency guidance,Public,Public,equal_credit_opportunity_act.pdf,ALL (T1-T5),Yes,2027-09-10
fcra-2026.pdf,Fair Credit Reporting Act,Statute / Federal Regulation,Federal Trade Commission (FTC)U.S. Federal,Head of Compliance,"January 1, 2026 (with publication in March 2026)",15 U.S.C. § 1681,United States,Official agency guidance,Public,Public,fair_credit_reporting_act.pdf,ALL (T1-T5),Yes,2027-09-10
TILA-001,Truth in Lending Act (TILA) Examination Procedures,Examination procedures / Agency guidance,Consumer Financial Protection Bureau (CFPB),Head of Compliance,"October 22, 2021",October 2021,United States,Official agency guidance,Public,Public,interagency_consumer_laws_and_regulations.pdf,ALL (T1-T5),Yes,2027-09-10
CCPA-001,California Consumer Privacy Act of 2018,Statute,California Legislation Information,Head of Compliance,"January 1, 2020",California Civil Code - 2026 Edition (reflecting AB 1170 and AB 137 statutory updates),California,Official agency guidance,Public,Public,california_consumer_privacy_act-2018.pdf,ALL (T1-T5),Yes,2027-09-10
