product_code,product_name,product_family,eligibility_criteria,minimum_credit_tier,minimum_fico,base_rate_pct,maximum_amount_usd,max_dti_pct,allow_bankruptcy_flag,allow_collections_flag,tier_rate_adjustment_rule,collections_rate_adjustment_pct,bankruptcy_rate_adjustment_pct,scra_rate_cap_pct
MTG-FH,Mortgage FHA,Mortgage,Owner-occupied property; documented income,T4,620,6.25,"500,000",50,TRUE,TRUE,T1=-0.75;T2=-0.25;T3=0.00;T4=1.50,1,2.5,6
MTG-CV,Mortgage Conventional,Mortgage,Income and employment verification required,T3,680,5.95,"1,000,000",45,FALSE,TRUE,T1=-0.75;T2=-0.25;T3=0.00,1,2.5,6
MTG-JB,Mortgage Jumbo,Mortgage,High-balance loan; reserves required,T2,740,6.15,"2,500,000",43,FALSE,FALSE,T1=-0.75;T2=-0.25,1,2.5,6
CRD-SC,Credit Card Secured,Credit Card,Security deposit required,T5,300,24.99,"3,000",60,TRUE,TRUE,T1=-2.00;T2=-1.00;T3=0.00;T4=1.00;T5=3.00,1,2.5,6
CRD-ST,Credit Card Standard,Credit Card,Standard unsecured revolving credit card,T4,620,19.99,"15,000",50,FALSE,TRUE,T1=-2.00;T2=-1.00;T3=0.00;T4=1.00,1,2.5,6
CRD-EL,Credit Card Elite 720+,Credit Card,Premium rewards product,T2,720,15.99,"50,000",45,FALSE,FALSE,T1=-2.00;T2=-1.00,1,2.5,6
AUT-SP,Auto Loan Subprime,Auto Loan,Vehicle collateral required,T5,300,12.99,"35,000",60,TRUE,TRUE,T1=-1.50;T2=-0.75;T3=0.00;T4=1.50;T5=4.00,1,2.5,6
AUT-TR,Auto Loan Traditional,Auto Loan,Standard auto financing,T3,680,6.99,"60,000",50,FALSE,TRUE,T1=-1.50;T2=-0.75;T3=0.00,1,2.5,6
AUT-TT,Auto Loan Top-Tier,Auto Loan,Preferred borrower program,T1,800,4.99,"100,000",45,FALSE,FALSE,T1=-1.50,1,2.5,6
SOL-PE,Personal Loan
